pubdate,PMID,title,abstract
2009,18927431,A peptomimetic inhibitor of BCL6 with potent antilymphoma effects in vitro and in vivo.,"The BCL6 transcriptional repressor is the most commonly involved oncogene in diffuse large B-cell lymphomas (DLBCLs). BCL6 lymphomagenic activity is dependent on its ability to recruit corepressor proteins to a unique binding site on its N-terminal BTB domain. A recombinant peptide fragment of the SMRT (silencing mediator for retinoid and thyroid hormone receptor) corepressor that blocks this site can inhibit BCL6 biologic functions. Shortening and conversion of this peptide to D-amino acid and retro configuration as well as the addition of a fusogenic motif yielded a far more potent and stable BCL6 inhibitor that still retained the specificity of the original SMRT fragment. Like the L-peptide, retroinverso BCL6 peptide inhibitor (RI-BPI) selectively killed BCR rather than OxPhos-type DLBCL cells. The RI-BPI could recapitulate the failure to form germinal centers seen in BCL6 null mice yet was nontoxic and nonimmunogenic even when administered for up to 52 weeks. RI-BPI showed superior duration of tissue penetration and could accordingly powerfully suppress the growth of human DLBCLs xenografts in a dose-dependent manner. Finally, RI-BPI could kill primary human DLBCL cells but had no effect on normal lymphoid tissue or other tumors."
2001,12555508,[Is thiamine supplementation necessary in patient with cardiac insufficiency?].,"Interest has recently risen regarding thiamine deficiency in patients with cardiac deficiency who are receiving long-term diuretic therapy. Thiamine deficiency can lead biventricular myocardial failure (cardiac beriberi), and treatment consists of thiamine administration. Studies have shown that long-term furosemide use may be associated with thiamine deficiency through urinary loss, contributing to cardiac insufficiency in patients with congestive heart failure. Thiamine supplementation could improved left ventricular function. However, the results of those studies are controversial, and none study have till proved the clinical impact of a systematic administration of thiamine in a cohort of patients with cardiac insufficiency. To date, and waiting for available literature, thiamine administration should be consider in patients at risk for thiamine deficiency (elderly, malnourished, alcoholic), and in patients receiving very large doses of diuretics."
2004,15013856,"Resveratrol, a polyphenol found in grapes, suppresses oxidative damage and stimulates apoptosis during early colonic inflammation in rats.","Oxidative stress, neutrophil infiltration, proinflammatory cytokines and eicosanoid generation are clearly involved in the pathogenesis of intestinal bowel disease. Resveratrol, a polyphenolic compound found in grapes and wine, has been shown to have anti-inflammatory, antioxidant, antitumour and immunomodulatory activities, however, its effects on experimental colitis remain unknown. We have investigated the effects of resveratrol on the colon injury caused by intracolonic instillation of trinitrobenzenesulphonic acid (TNBS) in rats. We determined the production of prostaglandin (PG)E(2) and PGD(2) in colon mucosa and the expression of cyclo-oxygenases (COX)-1 and -2 immunohistochemically. The inflammatory response was assessed by histology and myeloperoxidase activity, as an index of neutrophil infiltration. Interleukin-1 beta production, histological and histochemical analysis of the lesions were also carried out. Finally, since resveratrol has been found to modulate apoptosis we intended to elucidate its effects on colonic mucosa under early acute inflammatory conditions. Resveratrol (5-10mg/kg/day) significantly reduced the degree of colonic injury, the index of neutrophil infiltration and the levels of the cytokine. Resveratrol did not revert the increased PGE(2) levels but produced a significant fall in the PGD(2) concentration. Compared with inflamed colon, no changes in staining for COX-1 were observed in colon of resveratrol and TNBS-treated rats. In contrast, COX-2 expression was decreased. Furthermore, resveratrol enhanced apoptosis compared with already high level induced by TNBS. In conclusion, resveratrol reduces the damage in experimentally induced colitis, alleviates the oxidative events and stimulates apoptosis."
2013,23411221,"Investigation of isotope dilution mass spectrometric (ID-MS) method to determine niacin in infant formula, breakfast cereals and multivitamins.","An isotope dilution LC/mass spectrometric (ID-LC/MS) method was developed as a candidate reference method for the accurate determination of niacin in infant formula, breakfast cereals and multivitamin. After spiking nicotinamide-d(4) as an internal standard, infant formula and breakfast cereal samples were hydrolysed under alkaline condition. Samples were then analysed in SRM mode to detect nicotinic acid and nicotinic acid-d(4) at m/z 124→80 and 127→84, respectively. In the case of multivitamin sample that contains mainly free nicotinamide, LC/MS monitored nicotinamide and nicotinamide-d(4) at their SRM channels of m/z 123→80 and m/z 127→84, respectively, after simple extraction. The repeatability and reproducibility were tested for the validation of the developed ID/LC-MS method. Additionally, the developed analytical method was applied to determine total niacin contents in homogenised infant formula, homogenised multivitamin, and commercially available products including different types of infant formula, breakfast cereals, and multivitamin tablets."
2013,23656796,Dietary arginine affects energy metabolism through polyamine turnover in juvenile Atlantic salmon (Salmo salar).,"In the present study, quadruplicate groups of juvenile Atlantic salmon (Salmo salar) were fed plant protein-based diets with increasing arginine inclusions (range 28·8-37·4 g/kg DM) to investigate whether arginine supplementation affects growth and lipid accumulation through an elevated polyamine turnover. Dietary lysine was held at a constant concentration, just below the requirement. All other amino acids were balanced and equal in the diets. Arginine supplementation increased protein and fat accretion, without affecting the hepatosomatic or visceralsomatic indices. Dietary arginine correlated with putrescine in the liver (R 0·78, P= 0·01) and with ornithine in the muscle, liver and plasma (P= 0·0002, 0·003 and 0·0002, respectively). The mRNA of ornithine decarboxylase, the enzyme producing putrescine, was up-regulated in the white adipose tissue of fish fed the high-arginine inclusion compared with those fed the low-arginine diet. Concomitantly, spermidine/spermine-(N1)-acetyltransferase, the rate-limiting enzyme for polyamine turnover that consumes acetyl-CoA, showed an increased activity in the liver of fish fed the arginine-supplemented diets. In addition, lower acetyl-CoA concentrations were observed in the liver of fish fed the high-arginine diet, while ATP, which is used in the process of synthesising spermidine and spermine, did not show a similar trend. Gene expression of the rate-limiting enzyme for β-oxidation of long-chain fatty acids, carnitine palmitoyl transferase-1, was up-regulated in the liver of fish fed the high-arginine diet. Taken together, the data support that increased dietary arginine activates polyamine turnover and β-oxidation in the liver of juvenile Atlantic salmon and may act to improve the metabolic status of the fish. "
2011,21039435,Strategies for prevention of scars: what can we learn from fetal skin?,"Fetal wound healing occurs rapidly and without scar formation early in gestation. Studying the mechanisms of scarless repair can lead to novel scar-preventive approaches. In fetal wounds, collagen is deposited early and is fine and reticular with less cross-linking. Several important differences of fetal vs. postgestational wound-healing response have been determined, such as the presence of less inflammation, higher hyaluronic acid concentration and a greater ratio of collagen type III to type I. Compared with typical wounds, there are also altered ratios of signaling molecules, such as higher ratios of transforming growth factor (TGF)-β3 to TGF-β1 and -β2, and matrix metalloproteinases to tissue inhibitors of metalloproteinases. Furthermore, fetal fibroblasts do not exhibit TGF-β1-induced collagen production compared with their mature counterparts. Patterning genes (homeobox genes) involved in organogenesis are more active in the fetal period and are believed to be the ""first domino"" in the fetal cutaneous wound repair regulatory cascade. The recommended scar-preventive agents, such as Scarguard MD®, silicone gel and sheet, Seprafilm® Bioresorbable Membrane, topical hyaluronan, onion extract, oral tamoxifen and 585-nm pulsed dye laser are reviewed in this study. Despite the lack of supporting evidence, there is a widespread false presumption that the acceleration of healing with the widely assumed scar-preventive commercial agents is associated with decreased scar formation. Humans are erroneously inclined to make a negative correlation between the healing rate and the degree of scar formation, while such a correlation does not exist in reality. Despite the importance of scar prevention, no FDA-approved therapy for this purpose is available in the 21st century, which reflects the important challenges, such as the presence of redundant pathways, that these approaches are facing."
2015,24719213,"Effects of Nigella sativa, Lepidium sativum and Trigonella foenum-graecum on sildenafil disposition in beagle dogs.","The present study was conducted to investigate the effects of some commonly used herbs namely Nigella sativa, Lepidium sativum and Trigonella foenum-graecum on the pharmacokinetics of sildenafil in beagle dogs. The study design involved four treatments in a non-balanced crossover design. Sildenafil was given one tablet 100 mg orally to each dog and blood samples were obtained. After a suitable washout period, animals were commenced on a specific herb treatment for 1 week. Blood samples were withdrawn at different time intervals and sildenafil was analyzed by HPLC method. Oral administration of Nigella sativa resulted in reduction of AUC0-∞, C max and t 1/2 as compared to the control. Treatment of Lepidium sativum resulted in a significant reduction in the C max and AUC. There were no significant differences between the rests of the pharmacokinetic parameters relative to those of the control. For Trigonella foenum-graecum, the effects were similar to those obtained in case of Lepidium sativum. It was concluded that concurrent use of investigated herbs alters the pharmacokinetics of sildenafil. Co-administration of investigated herbs should be cautious since their concomitant use might result in decrease in sildenafil bioavailability. "
2014,25105221,Vitamins B2 and B6 as determinants of kynurenines and related markers of interferon-γ-mediated immune activation in the community-based Hordaland Health Study.,"Vitamins B2 and B6 are cofactors in the kynurenine pathway. Many of the kynurenines are neuroactive compounds with immunomodulatory effects. In the present study, we aimed to investigate plasma concentrations of vitamins B2 and B6 as determinants of kynurenines and two markers of interferon-γ-mediated immune activation (kynurenine:tryptophan ratio (KTR) and neopterin). We measured the concentrations of vitamins B2 and B6 vitamers, neopterin, tryptophan and six kynurenines (i.e. kynurenine, anthranilic acid, kynurenic acid, 3-hydroxykynurenine, 3-hydroxyanthranilic acid and xanthurenic acid) in plasma from 7051 individuals. Dietary intake of vitamins B2 and B6 was assessed using a validated FFQ. Associations were investigated using partial Spearman's correlations, generalised additive models, and segmented or multiple linear regression. The B2 vitamer, riboflavin, was positively associated with 3-hydroxyanthranilic acid and xanthurenic acid, with correlation coefficients, as obtained by segmented regression, of 0·20 (95 % CI 0·16, 0·23) and 0·24 (95 % CI 0·19, 0·28), at riboflavin concentrations below the median value (13·0 nmol/l). The vitamin B6 vitamer, pyridoxal 5'-phosphate (PLP), was positively associated with most kynurenines at PLP concentrations < 39·3-47·0 nmol/l, and inversely associated with 3-hydroxykynurenine with the association being more prominent at PLP concentrations < 18·9 nmol/l. Riboflavin and PLP were associated with xanthurenic acid only at relatively low, but normal concentrations of both vitamers. Lastly, PLP was negatively correlated with neopterin and KTR. These results demonstrate the significant and complex determination of kynurenine metabolism by vitamin status. Future studies on B-vitamins and kynurenines in relation to chronic diseases should therefore integrate data on relevant biomarkers related to B-vitamins status and tryptophan metabolism. "
2017,28992471,Parkia speciosa empty pod prevents hypertension and cardiac damage in rats given N(G)-nitro-l-arginine methyl ester.,"Parkia speciosa Hassk is a plant found abundantly in Southeast Asia region. Its seeds with or without pods and roots have been used in traditional medicine in this region to treat hypertension. Therefore, we aimed to investigate the potential effect of the plant empty pod extract on hypertension development and changes in heart induced by N(G)-nitro-l-arginine methyl ester (l-NAME) administration in rats. Twenty-four male Sprague Dawley rats were divided into four groups. Groups 1 to 3 were given l-NAME (25mg/kg, intraperitoneally) for 8 weeks. Groups 2 and 3 were also given Parkia speciosa empty pods methanolic extract (800mg/kg, orally) and nicardipine (3mg/kg, orally), concurrently with l-NAME. The last group served as the control. l-NAME reduced plasma nitric oxide level and therefore, increased systolic blood pressure, angiotensin-converting enzyme and NADPH oxidase activities as well as lipid peroxidation in the heart. Parkia speciosa extract and nicardipine treatments had significantly prevented the elevations of blood pressure, angiotensin-converting enzyme, NADPH oxidase activities and lipid peroxidation in the heart induced by the l-NAME. Parkia speciosa extract but not nicardipine prevented the reduction in plasma nitric oxide level caused by l-NAME. In conclusion, Parkia speciosa empty pods methanolic extract has a potential to prevent the development of hypertension possibly by preventing the loss of plasma nitric oxide, as well as has cardioprotective effects by reducing angiotensin-converting enzyme activity and oxidative stress in the heart in rats administered l-NAME."
2004,15283463,Tissue factor inhibitory sesquiterpene glycoside from Eriobotrya japonica.,"Tissue factor (TF, tissue thromboplastin) is a membrane bound glycoprotein, which accelerates the blood clotting, activating both the intrinsic and the extrinsic pathways to serve as a cofactor for activated factor VII (VIIa). The TF-factor VIIa complex (TF/VIIa) proteolytically activates factors IX and X, which leads to the generation of thrombin and fibrin clots. In order to isolate TF inhibitors, by means of a bioassay-directed chromatographic separation technique, from the leaves of Eriobotrya japonica Lindley (Rosaceae), a known sesquiterpene glycoside (2) and ferulic acid (3) were isolated as inhibitors that were evaluated using a single-clotting assay method for determining TF activity. Another sesquiterpene glycoside (1) was also isolated but was inactive in the assay system. Compound 3 was yielded by alkaline hydrolysis of compound 2. The structures of compounds 1, 2, and 3 were identified by means of spectral analysis as 3-O-alpha-L-rhamnopyranosyl-(1-->4)-alpha-L-rhamnopyranosyl-(1-->2)-[alpha-L-rhamnopyranosyl-(1-->6)]-beta-D-glucopyranosyl nerolidol (1), 3-O-alpha-L-rhamnopyranosyl-(1-->4)-alpha-L-rhamnopyranosyl-(1-->2)-[alpha-L-(4-trans-feruloyl)-rhamnopyranosyl-(1-->6)]-beta-D-glucopyranosyl nerolidol (2) and ferulic acid (3), respectively. Compounds 2 and 3 inhibited 50% of the TF activity at concentrations of 2 and 369 microM/TF units, respectively."
