	evidence_level	document_idx	title	sentences
541	others	59	Homocysteine and arteriosclerosis: established risk factor or new illusion 	['Homocysteine is an amino acid and a product of methionine metabolism that is metabolized through two different enzymatic pathways: transsulfuration and remethylation.', 'Vitamin B6 is important in homocysteine transsulfuration, whereas folate and vitamin B12 play significant roles in homocysteine remethylation.', 'The hyperhomocysteinemia offers an explanation for observations on human arteriosclerosis that are difficult to explain by the cholesterol/fat approach.', 'However, hyperhomocysteinemia can influence cognitive functions in the elderly.', 'The causes of hyperhomocysteinemia are inherited and acquired.', 'The treatment of hyperhomocysteinemia varies with underlying cause; generally, vitamin supplementation (with folic acid and vitamins B6 and B12) is effective in reducing homocysteine concentrations.', 'Also, specific recommendations, food fortification with folic acid, and preventive strategies in European countries (as in United States) are necessary to decrease cardiovascular morbidity and mortal']
5448	animal in-vivo	646	Influence of flour blend composition on fermentation kinetics and phytate hydrolysis of sourdough used to make injera.	['The influence of cereal blends, teff-white sorghum (TwS), barley-wheat (BW) and wheat-red sorghum (WrS), on fermentation kinetics during traditional fermentation of dough to prepare injera, an Ethiopian traditional fermented pancake, was investigated in samples collected in households.', 'Barley malt was used with BW and WrS flours.', 'WrS- and BW-injera sourdough fermentations were characterised by a transient accumulation of glucose and maltose and a two-step fermentation process: lactic acid fermentation and alcoholic fermentation with ethanol as the main end product.', 'Only transient accumulation of glucose was observed in TwS-injera, and equimolar concentrations of lactic acid and ethanol were produced simultaneously.', 'Final alpha-galactoside concentrations were low in all sourdoughs.', 'Phytic acid (IP6) was completely hydrolyzed in WrS and BW-injeras probably due to the combined action of endogenous malt and microbial phytases.', 'Only 28% IP6 hydrolysis was observed in TwS injera.', 'Ways to improve IP']
11024	others	1303	Silymarin and hepatocellular carcinoma: a systematic, comprehensive, and critical review.	"['The blessed milk thistle (Silybum marianum L.), a flowering plant native to Mediterranean Europe, has been consumed and extensively used as a cure for various chronic liver ailments over several centuries.', 'Milk thistle extract, known as silymarin, is a complex mixture of seven major flavonolignans and one flavonoid.', 'The phytoconstituents of silymarin owe their therapeutic and hepatoprotective effects to their strong antioxidant and anti-inflammatory properties.', 'Primary liver cancer, also known as hepatocellular carcinoma (HCC), occurs in a milieu of oxidative stress and inflammation.', 'The etiology of HCC includes chronic infection with hepatitis B and C viruses, cirrhosis, and exposure to dietary and environmental hepatocarcinogens.', 'Current therapeutic options for HCC, including surgical resection and liver transplantation, have limited benefits and are essentially ineffective.', 'Chemoprevention, using phytochemicals with potent antioxidant and anti-inflammatory properties, represents a fascinating strategy, which has been a subject of intense investigation in the recent years.', 'In this review, we explore the potential role of silymarin as a chemopreventive and therapeutic agent for HCC.', 'The review systematically evaluates the preclinical in-vitro and in-vivo studies investigating the effects of silymarin and its constituents on HCC.', 'The biochemical mechanisms involved in the anti-liver-cancer effects of silymarin have been presented.', 'The current status of clinical studies evaluating the potential of role of silymarin in liver cancer, especially that caused by hepatitis C virus, has also been examined.', ""Potential challenges and future directions of research involved in the 'bench-to-bedside' transition of silymarin phytoconstituents for the chemoprevention and treatment of HCC have also been discus""]"
11348	Bioanalysis	1340	Determinatıon of bisphenol a migrating from canned food and beverages in markets.	['The determination of bisphenol A (BPA) in foods and beverages sold in Turkish markets was carried out using high performance liquid chromatography.', 'In this research, foods packed in packages with an inner surface covered with plastic film, such as milk, fruit juice, cream, pudding and tuna samples were used.', 'Furthermore, foods in glass jar and metal cans such as green peas, garniture, corn, tomato paste, pepper paste, pickles, mushroom and bean samples were also used.', 'BPA concentrations were 21.86±0.80-1858.71±8.24microg kg(-1) for canned foodstuffs, 36.48±0.95-554.69±3.18microgkg(-1) for foods in paper box, not detected - 399.21±3.26microgkg(-1)for foods in glass jar.', 'The change in the amount of bisphenol A in all of these food, based on expiration date, the amount of glucose and sodium chloride in it has been determined.', 'We see that in these kind of food the amount of bisphenol A increases with an increase']
78	animal in-vivo	8	Parkia speciosa empty pod prevents hypertension and cardiac damage in rats given N(G)-nitro-l-arginine methyl ester.	['Parkia speciosa Hassk is a plant found abundantly in Southeast Asia region.', 'Its seeds with or without pods and roots have been used in traditional medicine in this region to treat hypertension.', 'Therefore, we aimed to investigate the potential effect of the plant empty pod extract on hypertension development and changes in heart induced by N(G)-nitro-l-arginine methyl ester (l-NAME) administration in rats.', 'Twenty-four male Sprague Dawley rats were divided into four groups.', 'Groups 1 to 3 were given l-NAME (25mg/kg, intraperitoneally) for 8 weeks.', 'Groups 2 and 3 were also given Parkia speciosa empty pods methanolic extract (800mg/kg, orally) and nicardipine (3mg/kg, orally), concurrently with l-NAME.', 'The last group served as the control.', 'l-NAME reduced plasma nitric oxide level and therefore, increased systolic blood pressure, angiotensin-converting enzyme and NADPH oxidase activities as well as lipid peroxidation in the heart.', 'Parkia speciosa extract and nicardipine treatments had significantly prevented the elevations of blood pressure, angiotensin-converting enzyme, NADPH oxidase activities and lipid peroxidation in the heart induced by the l-NAME.', 'Parkia speciosa extract but not nicardipine prevented the reduction in plasma nitric oxide level caused by l-NAME.', 'In conclusion, Parkia speciosa empty pods methanolic extract has a potential to prevent the development of hypertension possibly by preventing the loss of plasma nitric oxide, as well as has cardioprotective effects by reducing angiotensin-converting enzyme activity and oxidative stress in the heart in rats administered l-NAME.']
14818	in-vitro	1767	Indole-3-carbinol inhibits hepatic stellate cells proliferation by blocking NADPH oxidase/reactive oxygen species/p38 MAPK pathway.	['During the course of liver fibrogenesis, hepatic stellate cell (HSC) proliferation as well as subsequent synthesis of excessive extracellular matrix components is known to be the central events.', 'Thus, factors that could limit HSC proliferation are potential anti-fibrotic agents.', 'The aim of this study was to investigate the effects of indole-3-carbinol (I3C), a nutritional component derived from Brassica family vegetables, on the proliferation of cultured HSC and to clarify the underline molecular mechanism.', 'HSC-T6, an activated rat HSC line, was treated with I3C (50, 100 and 200 microM) for 24 h. The results indicated that I3C can significantly inhibit HSC proliferation in a concentration-dependent manner with or without platelet-derived growth factor-BB (PDGF-BB) stimulation (P<0.01).', 'I3C could also block HSC in the G(0)/G(1) phase from entering the S phase.', 'The expressions of alpha-smooth muscle actin in HSC treated with I3C, were significantly decreased at levels of protein and mRNA (P<0.01).', 'In addition, the type I collagen level, cyclin D(1) and cyclin-dependent kinase 4 mRNA expressions, intracellular nicotinamide adenine dinucleotide phosphate (NADPH) oxidase activity and reactive oxygen species generation were significantly decreased by I3C (P<0.05).', 'We also observed that the phosphorylated p38 MAPK in HSC-T6 was inhibited by I3C in a concentration-dependent manner; however, the phosphorylated ERK1/2 was unaltered.', 'In conclusion, I3C could inhibit the proliferation of HSC by blocking the NADPH oxidase/reactive oxygen species/p38 MAPK signal pathway.', 'These findings suggest that dietary I3C might play a novel role in']
8866	Observational in human	1045	Pharmacokinetic and metabolic effects of American ginseng (Panax quinquefolius) in healthy volunteers receiving the HIV protease inhibitor indinavir.	['BACKGROUND: Complementary and alternative medicine (CAM) use is prevalent among HIV-infected patients to reduce the toxicity of antiretroviral therapy.', 'Ginseng has been used for treatment of hyperglycemia and insulin resistance, a common side effect of some HIV-1 protease inhibitors (PI).', 'However, it is unknown whether American ginseng (AG) can reverse insulin resistance induced by the PI indinavir (IDV), and whether these two agents interact pharmacologically.', 'We evaluated potential pharmacokinetic interactions between IDV and AG, and assessed whether AG improves IDV-induced insulin resistance.', 'METHODS: After baseline assessment of insulin sensitivity using the insulin clamp technique, healthy volunteers received IDV 800 mg q8 h for 3 days and then IDV and AG 1g q8h for 14 days.', 'IDV pharmacokinetics and insulin sensitivity were assessed before and after AG co-administration.', 'RESULTS: There was no difference in the area-under the plasma-concentration-time curve after the co-administration of AG, compared to IDV alone (n = 13).', 'Although insulin-stimulated glucose disposal per unit of insulin (M/I) decreased by an average of 14.8 +/- 5.9% after 3 days of IDV (from 0.113 +/- 0.012 to 0.096 +/- 0.014 mg/kgFFM/min per muU/ml of insulin, p = 0.03, n = 11), M/I remained unchanged after co-administration of IDV and AG.', 'CONCLUSION: IDV decreases insulin sensitivity, which is unaltered by AG co-administration.', 'AG does not significantly affect IDV']
13385	Case report	1592	Inhibitory effect of chamomile essential oil on the sister chromatid exchanges induced by daunorubicin and methyl methanesulfonate in mouse bone marrow.	"[""Different preparations of chamomile (Matricaria chamomilla) are used to treat various diseases, including inflammation and cancer; however, no studies on the plant's antigenotoxic capacity have been made."", 'The aim of the present work was to determine the inhibitory effect of the chamomile essential oil (CO), on the sister chromatid exchanges (SCEs) produced by daunorubicin and methyl methanesulfonate (MMS) in mouse bone marrow cells.', 'CO was analyzed and was found to contain 13 compounds, mainly bisabolol and its oxides, chamazulene, farnesene, germacrene and other sesquiterpenes.', 'Initially, a toxic and a genotoxic analysis of CO were made; both showed negative results.', 'To determine whether CO can inhibit the mutagenic effects induced by daunorubicin, one group of mice was administered corn oil, another group was treated with the mutagen (10 mg/kg), a third group was treated with 500 mg/kg of CO; three other groups were treated first with CO (5, 50 and 500 mg/kg) and then with 10 mg/kg of daunorubicin.', 'In the case of MMS, the experimental groups consisted of the following: the negative control group which was administered corn oil, a group treated with 25 mg/kg of MMS, a group treated with 1000 mg/kg of CO, and three groups treated first with CO (250, 500 and 1000 mg/kg) and then with MMS (25 mg/kg).', 'The results indicated a dose-dependent inhibitory effect on the SCEs formed by both mutagens.', 'In the case of daunorubicin, a statistically significant result was observed in the three tested doses: from the lowest to the highest dose, the inhibitory values corresponded to 25.7, 63.1 and 75.5%.', 'No alterations were found with respect to the cellular proliferation kinetics, but a reduction in the mitotic index was detected.', 'As regards MMS, the inhibitory values were 24.8, 45.8 and 60.6%; no alterations were found in either the cellular proliferation kinetics or in the mitotic indices.', 'Our results suggest that CO may be an effective antimutagen that could be considered for further st']"
14083	animal in-vivo	1677	Angiostatic role of the selective cyclooxygenase-2 inhibitor etoricoxib (MK0663) in experimental lung cancer.	['Lung cancer was induced in Sprague-Dawley rats by a single intra-tracheal instillation of 9,10-dimethybenz(a)anthracene (DMBA) and evaluated the anti-angiogenic action of etoricoxib, which is a selective cyclooxygenase-2 (COX-2) inhibitor.', 'The animals were divided into four groups.', 'Group 1 (Control) received 0.9% (w/v) normal saline intra-tracheal and 0.5% (w/v) carboxymethyl cellulose per oral daily as the vehicle of the drug, Group 2 received DMBA (20 mg/kg) intra-tracheal once, Group 3 received a daily oral dose of etoricoxib (0.6 mg/kg bw) in addition to the DMBA while Group 4 received etoricoxib alone.', 'Morphological and histological analysis confirmed the presence of lung tumors 20 weeks after the administration of DMBA.', 'Expressions of COX-2, MMP-2, MMP-9, MCP-1, MIP-1beta and VEGF were studied by immunofluorescence, Western immunoblot and mRNA studies, which showed a higher expression of these proteins in the DMBA-treated animals but much lower in DMBA+etoricoxib.', 'Gelatin zymography as applied for the detection of the extracellular protein degrading enzymes, matrix metalloproteinases showed more intense activity in DMBA-treated rats as compared to the other groups.', 'Also, the isolated alveolar macrophages were stained with Merocyanine540 (MC540) to study the membrane fluidity and lipid packing effect.', 'DMBA treatment resulted in a significant increase in the number of lung cells exhibiting a high intensity of MC540 staining, which was reduced by the co-administration of etoricoxib.', 'Thus the effects of etoricoxib on the expression of the angiogenic proteins have been observed, which clearly shows an anti-angiogenic mechani']
5289	RCTs	628	Effects of supplemental beta-carotene, cigarette smoking, and alcohol consumption on serum carotenoids in the Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study.	['We determined whether serum carotenoid or retinol concentrations were altered by beta-carotene supplementation in the Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study and whether such effects were modified by alcohol consumption or cigarette use.', 'Participants in this substudy were 491 randomly selected men aged 58-76 y from the metropolitan Helsinki study center 237 receiving supplemental beta-carotene (20 mg/d) and 254 not receiving such supplementation.', 'Dietary carotenoids, retinol, and alcohol, and serum beta-carotene, alpha-tocopherol, retinol, and cholesterol were assessed at baseline.', 'After an average of 6.7 y of supplementation, serum was collected and carotenoid, retinol, and alpha-tocopherol concentrations were determined by HPLC.', 'Serum carotenoid fractions were highly correlated with each other (P < or = 0.0001).', 'Compared with the unsupplemented group, the beta-carotene group had significantly higher serum concentrations of beta-carotene (1483%), alpha-carotene (145%), and beta-cryptoxanthin (67%) (P < or = 0.0001).', 'Retinol concentrations were 6% higher (P = 0.03) and lutein was 11% lower (P = 0.02) in the supplemented group.', 'Serum lycopene, zeaxanthin, and alpha-tocopherol did not differ according to beta-carotene-supplementation status.', 'Although these beta-carotene-group differences were not significantly altered by amount of alcohol consumption, higher consumption (> 12.9 g/d, median) was related to lower (10-38%) concentrations of carotenoids, particularly beta-carotene, alpha-carotene, and beta-cryptoxanthin, in both the supplemented and unsupplemented groups.', 'Smoking status did not significantly influence the supplementation-related differences in serum carotenoid and retinol values but concentrations of carotenoids were generally highest in participants who quit smoking while in the study and lowest in current smokers of > or = 20 cigarettes/d.', 'This study showed that serum concentrations of non-beta-carotene carotenoids are altered by long-term beta-carotene supplementation and confirms the adverse effects of alcohol and cigarette smoking on serum caroteno']
14100	in-vitro	1679	In vitro genoprotective and genotoxic effect of nicotine on human leukocytes evaluated by the comet assay.	['The comet assay was used to measure the DNA damage induced in vitro by nicotine in human leukocytes as the extent of DNA migration in the comet head area, tail length, percent DNA in the tail, and Olive tail moment.', 'Samples of whole blood were collected and blood cells were challenged with acute doses of 0.1, 1 and 10  M of (-)-nicotine for 60 minutes.', 'We found that nicotine treatment had dose-dependent effects on the level of DNA damage.', 'At 1 and 10  M of nicotine, both Olive tail moment and percent DNA in the tail significantly increased (p < 0.001), compared to the control.', 'In the presence of 10  M of nicotine, the shortest tail length and the smallest head area were detected.', 'At a concentration of 0.1  M, surprisingly, DNA damage detected by the comet assay was lower than in the control, which was proved by the observed significantly (p < 0.001) lower Olive tail moment and percent DNA in the tail as well as larger head area.', 'The results suggest that nicotine, at a reasonably low concentration (0.1  M), comparable to those found in the blood of habitual smokers, may have a protective effect, whereas higher doses of nicotine (1 and 10  M) are genotoxic.', 'The possible participation of reactive oxygen species in the DNA-damaging potential of nicotine is discus']
