	document_idx	title	sentence	sentence_type
0	1	Is thiamine supplementation necessary in patient with cardiac insufficiency .	However, the results of those studies are controversial, and none study have till proved the clinical impact of a systematic administration of thiamine in a cohort of patients with cardiac insufficiency.	none_sent
1	4	Dietary arginine affects energy metabolism through polyamine turnover in juvenile Atlantic salmon (Salmo salar).	Dietary lysine was held at a constant concentration, just below the requirement.	none_sent
2	4	Dietary arginine affects energy metabolism through polyamine turnover in juvenile Atlantic salmon (Salmo salar).	Dietary arginine correlated with putrescine in the liver (R 0.78, P=<0.01) and with ornithine in the muscle, liver and plasma (P=<0.0002, 0.003 and 0.0002, respectively).	none_sent
3	4	Dietary arginine affects energy metabolism through polyamine turnover in juvenile Atlantic salmon (Salmo salar).	Gene expression of the rate-limiting enzyme for oxidation of long-chain fatty acids, carnitine palmitoyl transferase-1, was up-regulated in the liver of fish fed the high-arginine diet.	none_sent
4	7	Vitamins B2 and B6 as determinants of kynurenines and related markers of interferon-gamma-mediated immune activation in the community-based Hordaland Health Study.	Dietary intake of vitamins B2 and B6 was assessed using a validated FFQ.	none_sent
5	8	Parkia speciosa empty pod prevents hypertension and cardiac damage in rats given N(G)-nitro-l-arginine methyl ester.	Twenty-four male Sprague Dawley rats were divided into four groups.	none_sent
6	8	Parkia speciosa empty pod prevents hypertension and cardiac damage in rats given N(G)-nitro-l-arginine methyl ester.	l-NAME reduced plasma nitric oxide level and therefore, increased systolic blood pressure, angiotensin-converting enzyme and NADPH oxidase activities as well as lipid peroxidation in the heart.	key_sent
7	8	Parkia speciosa empty pod prevents hypertension and cardiac damage in rats given N(G)-nitro-l-arginine methyl ester.	Parkia speciosa extract and nicardipine treatments had significantly prevented the elevations of blood pressure, angiotensin-converting enzyme, NADPH oxidase activities and lipid peroxidation in the heart induced by the l-NAME.	key_sent
8	8	Parkia speciosa empty pod prevents hypertension and cardiac damage in rats given N(G)-nitro-l-arginine methyl ester.	Parkia speciosa extract but not nicardipine prevented the reduction in plasma nitric oxide level caused by l-NAME.	key_sent
9	8	Parkia speciosa empty pod prevents hypertension and cardiac damage in rats given N(G)-nitro-l-arginine methyl ester.	In conclusion, Parkia speciosa empty pods methanolic extract has a potential to prevent the development of hypertension possibly by preventing the loss of plasma nitric oxide, as well as has cardioprotective effects by reducing angiotensin-converting enzyme activity and oxidative stress in the heart in rats administered l-NAME. 	key_sent
10	9	Tissue factor inhibitory sesquiterpene glycoside from Eriobotrya japonica.	 Tissue factor (TF, tissue thromboplastin) is a membrane bound glycoprotein, which accelerates the blood clotting, activating both the intrinsic and the extrinsic pathways to serve as a cofactor for activated factor VII (VIIa).	none_sent
11	9	Tissue factor inhibitory sesquiterpene glycoside from Eriobotrya japonica.	Compound 3 was yielded by alkaline hydrolysis of compound 2.	none_sent
12	9	Tissue factor inhibitory sesquiterpene glycoside from Eriobotrya japonica.	Compounds 2 and 3 inhibited 50% of the TF activity at concentrations of 2 and 369 microM/TF units, respectively. 	key_sent
13	10	Sulfur mustard induced nuclear translocation of glyceraldehyde-3-phosphate-dehydrogenase (GAPDH).	However, recent studies have revealed that cellular responses to SM exposure are of more complex nature and include increased protein expression and protein modifications that can be used as biomarkers.	none_sent
